region,state_name,total_prison_pop_2019,total_prison_pop_2020,total_prison_pop_2021
US Total,,1435093,1213073,1199642
Federal,,175116,152184,157654
States,,1259977,1060889,1041988
Northeast,,138067,110266,103429
South,,603562,517045,510465
Midwest,,244928,210437,207907
West,,273420,223141,220187
,Alabama,28266,25344,25202
,Alaska,4475,4303,4634
,Arizona,42441,37731,33886
,Arkansas,17759,16094,17023
,California,125507,97251,101032
,Colorado,19714,16090,15649
,Connecticut,12823,9111,9418
,Delaware,5692,4675,4769
,Florida,96009,81027,80417
,Georgia,55556,47709,47020
,Hawaii,5279,4171,4102
,Idaho,9437,8025,8732
,Illinois,38259,29574,27970
,Indiana,27180,24734,23892
,Iowa,9662,8303,9057
,Kansas,10177,8660,8337
,Kentucky,23436,18806,18846
,Louisiana,31609,26770,26340
,Maine,2185,1717,1587
,Maryland,18686,15480,15065
,Massachusetts,8205,6886,6255
,Michigan,38053,33618,32186
,Minnesota,9982,7593,7511
,Mississippi,19469,17652,17494
,Missouri,26044,23106,23454
,Montana,2777,2421,2658
,Nebraska,5682,5257,5568
,Nevada,12942,11134,10400
,New Hampshire,2691,2286,2065
,New Jersey,18613,12808,12497
,New Mexico,6723,6046,5528
,New York,43500,34446,30746
,North Carolina,34510,29422,29701
,North Dakota,1794,1401,1689
,Ohio,50338,44246,44263
,Oklahoma,25712,22854,22342
,Oregon,15755,12753,12002
,Pennsylvania,45702,39493,37303
,Rhode Island,2740,2227,2274
,South Carolina,18608,16111,15802
,South Dakota,3801,3225,3303
,Tennessee,26539,23128,22323
,Texas,158820,136302,133424
,Utah,6731,5485,5943
,Vermont,1608,1292,1284
,Virginia,36091,31838,30371
,Washington,19160,15644,13457
,West Virginia,6800,3833,4326
,Wisconsin,23956,20720,20677
,Wyoming,2479,2087,2164